[ 18629][I][app_httpd.cpp:291] stream_handler(): MJPG: 7768B 28ms (35.71fps), AVG: 28ms (35.71fps), Temperature: 57.78
[ 20045][I][app_httpd.cpp:291] stream_handler(): MJPG: 8228B 1415ms (0.71fps), AVG: 97ms (10.31fps), Temperature: 57.78
[ 20087][I][app_httpd.cpp:291] stream_handler(): MJPG: 8531B 42ms (23.81fps), AVG: 98ms (10.20fps), Temperature: 57.78
[ 20110][I][app_httpd.cpp:291] stream_handler(): MJPG: 6989B 22ms (45.45fps), AVG: 98ms (10.20fps), Temperature: 57.78
[ 20139][I][app_httpd.cpp:291] stream_handler(): MJPG: 6989B 29ms (34.48fps), AVG: 98ms (10.20fps), Temperature: 57.78
[ 20165][I][app_httpd.cpp:291] stream_handler(): MJPG: 7511B 26ms (38.46fps), AVG: 98ms (10.20fps), Temperature: 58.33
[ 20189][I][app_httpd.cpp:291] stream_handler(): MJPG: 7723B 23ms (43.48fps), AVG: 98ms (10.20fps), Temperature: 57.78
[ 20212][I][app_httpd.cpp:291] stream_handler(): MJPG: 8182B 22ms (45.45fps), AVG: 97ms (10.31fps), Temperature: 57.78
[ 20249][I][app_httpd.cpp:291] stream_handler(): MJPG: 8608B 37ms (27.03fps), AVG: 98ms (10.20fps), Temperature: 57.78
[ 20273][I][app_httpd.cpp:291] stream_handler(): MJPG: 9120B 24ms (41.67fps), AVG: 98ms (10.20fps), Temperature: 58.33
[ 20300][I][app_httpd.cpp:291] stream_handler(): MJPG: 8157B 26ms (38.46fps), AVG: 98ms (10.20fps), Temperature: 58.33
[ 20328][I][app_httpd.cpp:291] stream_handler(): MJPG: 8157B 28ms (35.71fps), AVG: 98ms (10.20fps), Temperature: 58.33
[ 20354][I][app_httpd.cpp:291] stream_handler(): MJPG: 8157B 25ms (40.00fps), AVG: 97ms (10.31fps), Temperature: 58.33
[ 20377][I][app_httpd.cpp:291] stream_handler(): MJPG: 8414B 22ms (45.45fps), AVG: 97ms (10.31fps), Temperature: 58.33
[ 20405][I][app_httpd.cpp:291] stream_handler(): MJPG: 7732B 28ms (35.71fps), AVG: 96ms (10.42fps), Temperature: 58.33
[ 20438][I][app_httpd.cpp:291] stream_handler(): MJPG: 7732B 32ms (31.25fps), AVG: 96ms (10.42fps), Temperature: 58.33
[ 20463][I][app_httpd.cpp:291] stream_handler(): MJPG: 7987B 25ms (40.00fps), AVG: 96ms (10.42fps), Temperature: 57.78
[ 20495][I][app_httpd.cpp:291] stream_handler(): MJPG: 7987B 31ms (32.26fps), AVG: 96ms (10.42fps), Temperature: 58.33
[ 20519][I][app_httpd.cpp:291] stream_handler(): MJPG: 8030B 23ms (43.48fps), AVG: 96ms (10.42fps), Temperature: 58.33
[ 20544][I][app_httpd.cpp:291] stream_handler(): MJPG: 8216B 25ms (40.00fps), AVG: 96ms (10.42fps), Temperature: 58.33
[ 20571][I][app_httpd.cpp:291] stream_handler(): MJPG: 7476B 26ms (38.46fps), AVG: 96ms (10.42fps), Temperature: 58.33
