[  9390][I][app_httpd.cpp:291] stream_handler(): MJPG: 6933B 32ms (31.25fps), AVG: 25ms (40.00fps), Temperature: 56.67
[  9412][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 57.22
[  9440][I][app_httpd.cpp:291] stream_handler(): MJPG: 8585B 27ms (37.04fps), AVG: 25ms (40.00fps), Temperature: 57.22
[  9463][I][app_httpd.cpp:291] stream_handler(): MJPG: 7399B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 56.67
[  9496][I][app_httpd.cpp:291] stream_handler(): MJPG: 7489B 32ms (31.25fps), AVG: 25ms (40.00fps), Temperature: 56.67
[  9519][I][app_httpd.cpp:291] stream_handler(): MJPG: 8652B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 57.22
[  9546][I][app_httpd.cpp:291] stream_handler(): MJPG: 7608B 27ms (37.04fps), AVG: 25ms (40.00fps), Temperature: 57.22
[  9596][I][app_httpd.cpp:291] stream_handler(): MJPG: 8278B 50ms (20.00fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  9618][I][app_httpd.cpp:291] stream_handler(): MJPG: 6808B 22ms (45.45fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  9647][I][app_httpd.cpp:291] stream_handler(): MJPG: 6825B 28ms (35.71fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  9668][I][app_httpd.cpp:291] stream_handler(): MJPG: 8009B 21ms (47.62fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  9697][I][app_httpd.cpp:291] stream_handler(): MJPG: 8009B 29ms (34.48fps), AVG: 26ms (38.46fps), Temperature: 57.22
[  9728][I][app_httpd.cpp:291] stream_handler(): MJPG: 8494B 30ms (33.33fps), AVG: 26ms (38.46fps), Temperature: 57.78
[  9754][I][app_httpd.cpp:291] stream_handler(): MJPG: 9604B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 57.22
[  9780][I][app_httpd.cpp:291] stream_handler(): MJPG: 7615B 26ms (38.46fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  9801][I][app_httpd.cpp:291] stream_handler(): MJPG: 7625B 21ms (47.62fps), AVG: 26ms (38.46fps), Temperature: 57.22
[  9826][I][app_httpd.cpp:291] stream_handler(): MJPG: 7937B 24ms (41.67fps), AVG: 26ms (38.46fps), Temperature: 57.22
[  9852][I][app_httpd.cpp:291] stream_handler(): MJPG: 7937B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 57.22
[  9875][I][app_httpd.cpp:291] stream_handler(): MJPG: 8259B 23ms (43.48fps), AVG: 26ms (38.46fps), Temperature: 57.22
[  9904][I][app_httpd.cpp:291] stream_handler(): MJPG: 9331B 29ms (34.48fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  9929][I][app_httpd.cpp:291] stream_handler(): MJPG: 9316B 24ms (41.67fps), AVG: 26ms (38.46fps), Temperature: 57.22
[  9956][I][app_httpd.cpp:291] stream_handler(): MJPG: 7428B 27ms (37.04fps), AVG: 26ms (38.46fps), Temperature: 57.22
[  9979][I][app_httpd.cpp:291] stream_handler(): MJPG: 7878B 22ms (45.45fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 10009][I][app_httpd.cpp:291] stream_handler(): MJPG: 8327B 30ms (33.33fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 10034][I][app_httpd.cpp:291] stream_handler(): MJPG: 8635B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 57.78
[ 10056][I][app_httpd.cpp:291] stream_handler(): MJPG: 8276B 21ms (47.62fps), AVG: 26ms (38.46fps), Temperature: 58.33
[ 10077][I][app_httpd.cpp:291] stream_handler(): MJPG: 8239B 21ms (47.62fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 10110][I][app_httpd.cpp:291] stream_handler(): MJPG: 7221B 32ms (31.25fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10133][I][app_httpd.cpp:291] stream_handler(): MJPG: 8302B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10161][I][app_httpd.cpp:291] stream_handler(): MJPG: 7820B 28ms (35.71fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10184][I][app_httpd.cpp:291] stream_handler(): MJPG: 8098B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10211][I][app_httpd.cpp:291] stream_handler(): MJPG: 8098B 27ms (37.04fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10234][I][app_httpd.cpp:291] stream_handler(): MJPG: 8098B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 57.22
[ 10262][I][app_httpd.cpp:291] stream_handler(): MJPG: 8098B 28ms (35.71fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10285][I][app_httpd.cpp:291] stream_handler(): MJPG: 8098B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 57.22
[ 10316][I][app_httpd.cpp:291] stream_handler(): MJPG: 8098B 31ms (32.26fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10339][I][app_httpd.cpp:291] stream_handler(): MJPG: 8684B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10365][I][app_httpd.cpp:291] stream_handler(): MJPG: 7548B 26ms (38.46fps), AVG: 25ms (40.00fps), Temperature: 57.78
[ 10389][I][app_httpd.cpp:291] stream_handler(): MJPG: 8539B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10420][I][app_httpd.cpp:291] stream_handler(): MJPG: 7913B 30ms (33.33fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10443][I][app_httpd.cpp:291] stream_handler(): MJPG: 7921B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10468][I][app_httpd.cpp:291] stream_handler(): MJPG: 8087B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10490][I][app_httpd.cpp:291] stream_handler(): MJPG: 9026B 21ms (47.62fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10528][I][app_httpd.cpp:291] stream_handler(): MJPG: 8012B 37ms (27.03fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10554][I][app_httpd.cpp:291] stream_handler(): MJPG: 8324B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10580][I][app_httpd.cpp:291] stream_handler(): MJPG: 8007B 26ms (38.46fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10609][I][app_httpd.cpp:291] stream_handler(): MJPG: 8226B 28ms (35.71fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 10633][I][app_httpd.cpp:291] stream_handler(): MJPG: 7989B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10663][I][app_httpd.cpp:291] stream_handler(): MJPG: 9019B 30ms (33.33fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 10688][I][app_httpd.cpp:291] stream_handler(): MJPG: 7284B 24ms (41.67fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 10716][I][app_httpd.cpp:291] stream_handler(): MJPG: 8077B 27ms (37.04fps), AVG: 26ms (38.46fps), Temperature: 57.78
[ 10741][I][app_httpd.cpp:291] stream_handler(): MJPG: 8077B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 57.78
[ 10769][I][app_httpd.cpp:291] stream_handler(): MJPG: 8077B 28ms (35.71fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 10792][I][app_httpd.cpp:291] stream_handler(): MJPG: 8206B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 58.89
[ 10823][I][app_httpd.cpp:291] stream_handler(): MJPG: 8940B 30ms (33.33fps), AVG: 26ms (38.46fps), Temperature: 57.78
[ 10867][I][app_httpd.cpp:291] stream_handler(): MJPG: 7470B 44ms (22.73fps), AVG: 27ms (37.04fps), Temperature: 57.22
[ 10890][I][app_httpd.cpp:291] stream_handler(): MJPG: 7470B 22ms (45.45fps), AVG: 26ms (38.46fps), Temperature: 58.89
[ 10917][I][app_httpd.cpp:291] stream_handler(): MJPG: 9248B 26ms (38.46fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 10939][I][app_httpd.cpp:291] stream_handler(): MJPG: 7740B 22ms (45.45fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 10973][I][app_httpd.cpp:291] stream_handler(): MJPG: 7749B 33ms (30.30fps), AVG: 27ms (37.04fps), Temperature: 57.22
