[102474][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 21ms (47.62fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102498][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 23ms (43.48fps), AVG: 24ms (41.67fps), Temperature: 61.67
[102522][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 61.67
[102550][I][app_httpd.cpp:291] stream_handler(): MJPG: 6781B 27ms (37.04fps), AVG: 24ms (41.67fps), Temperature: 61.67
[102571][I][app_httpd.cpp:291] stream_handler(): MJPG: 7011B 21ms (47.62fps), AVG: 24ms (41.67fps), Temperature: 61.67
[102596][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102622][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 26ms (38.46fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102648][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 25ms (40.00fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102669][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 20ms (50.00fps), AVG: 23ms (43.48fps), Temperature: 62.22
[102697][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 28ms (35.71fps), AVG: 23ms (43.48fps), Temperature: 62.22
[102732][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 35ms (28.57fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102758][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 25ms (40.00fps), AVG: 24ms (41.67fps), Temperature: 61.67
[102781][I][app_httpd.cpp:291] stream_handler(): MJPG: 6951B 23ms (43.48fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102811][I][app_httpd.cpp:291] stream_handler(): MJPG: 7056B 29ms (34.48fps), AVG: 24ms (41.67fps), Temperature: 62.22
