[ 15009][I][app_httpd.cpp:291] stream_handler(): MJPG: 7100B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 15030][I][app_httpd.cpp:291] stream_handler(): MJPG: 8340B 21ms (47.62fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 15053][I][app_httpd.cpp:291] stream_handler(): MJPG: 7627B 23ms (43.48fps), AVG: 24ms (41.67fps), Temperature: 56.11
[ 15075][I][app_httpd.cpp:291] stream_handler(): MJPG: 7627B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15103][I][app_httpd.cpp:291] stream_handler(): MJPG: 7007B 28ms (35.71fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15133][I][app_httpd.cpp:291] stream_handler(): MJPG: 7627B 29ms (34.48fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15155][I][app_httpd.cpp:291] stream_handler(): MJPG: 7627B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15187][I][app_httpd.cpp:291] stream_handler(): MJPG: 6621B 31ms (32.26fps), AVG: 24ms (41.67fps), Temperature: 56.11
[ 15208][I][app_httpd.cpp:291] stream_handler(): MJPG: 7013B 20ms (50.00fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15231][I][app_httpd.cpp:291] stream_handler(): MJPG: 7695B 23ms (43.48fps), AVG: 24ms (41.67fps), Temperature: 56.11
[ 15257][I][app_httpd.cpp:291] stream_handler(): MJPG: 7835B 25ms (40.00fps), AVG: 24ms (41.67fps), Temperature: 56.11
[ 15277][I][app_httpd.cpp:291] stream_handler(): MJPG: 7021B 20ms (50.00fps), AVG: 24ms (41.67fps), Temperature: 56.11
[ 15303][I][app_httpd.cpp:291] stream_handler(): MJPG: 7021B 25ms (40.00fps), AVG: 24ms (41.67fps), Temperature: 56.11
[ 15333][I][app_httpd.cpp:291] stream_handler(): MJPG: 7021B 29ms (34.48fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15357][I][app_httpd.cpp:291] stream_handler(): MJPG: 7835B 23ms (43.48fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15382][I][app_httpd.cpp:291] stream_handler(): MJPG: 7037B 25ms (40.00fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15406][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 23ms (43.48fps), AVG: 23ms (43.48fps), Temperature: 56.67
[ 15435][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 28ms (35.71fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15460][I][app_httpd.cpp:291] stream_handler(): MJPG: 6906B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15484][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 23ms (43.48fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15510][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 26ms (38.46fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15539][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 28ms (35.71fps), AVG: 24ms (41.67fps), Temperature: 56.11
[ 15563][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 56.67
