1738380149652,[184487][I][app_httpd.cpp:291] stream_handler(): MJPG: 9609B 46ms (21.74fps), AVG: 41ms (24.39fps), Temperature: 66.11
1738380149715,[184549][I][app_httpd.cpp:291] stream_handler(): MJPG: 10095B 62ms (16.13fps), AVG: 42ms (23.81fps), Temperature: 65.56
1738380149750,[184585][I][app_httpd.cpp:291] stream_handler(): MJPG: 9904B 35ms (28.57fps), AVG: 42ms (23.81fps), Temperature: 65.56
1738380149817,[184651][I][app_httpd.cpp:291] stream_handler(): MJPG: 9631B 66ms (15.15fps), AVG: 43ms (23.26fps), Temperature: 66.11
1738380149852,[184687][I][app_httpd.cpp:291] stream_handler(): MJPG: 9679B 35ms (28.57fps), AVG: 43ms (23.26fps), Temperature: 66.11
1738380149908,[184743][I][app_httpd.cpp:291] stream_handler(): MJPG: 10033B 56ms (17.86fps), AVG: 44ms (22.73fps), Temperature: 65.56
1738380149943,[184778][I][app_httpd.cpp:291] stream_handler(): MJPG: 9719B 34ms (29.41fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380150004,[184839][I][app_httpd.cpp:291] stream_handler(): MJPG: 9905B 61ms (16.39fps), AVG: 44ms (22.73fps), Temperature: 66.11
1738380150044,[184879][I][app_httpd.cpp:291] stream_handler(): MJPG: 9727B 39ms (25.64fps), AVG: 44ms (22.73fps), Temperature: 66.11
1738380150087,[184922][I][app_httpd.cpp:291] stream_handler(): MJPG: 10004B 42ms (23.81fps), AVG: 42ms (23.81fps), Temperature: 66.11
1738380150140,[184975][I][app_httpd.cpp:291] stream_handler(): MJPG: 9988B 53ms (18.87fps), AVG: 43ms (23.26fps), Temperature: 66.11
1738380150189,[185023][I][app_httpd.cpp:291] stream_handler(): MJPG: 10184B 47ms (21.28fps), AVG: 44ms (22.73fps), Temperature: 66.11
1738380150228,[185063][I][app_httpd.cpp:291] stream_handler(): MJPG: 10076B 39ms (25.64fps), AVG: 44ms (22.73fps), Temperature: 66.11
1738380150293,[185128][I][app_httpd.cpp:291] stream_handler(): MJPG: 9603B 64ms (15.62fps), AVG: 45ms (22.22fps), Temperature: 66.11
1738380150325,[185160][I][app_httpd.cpp:291] stream_handler(): MJPG: 9858B 32ms (31.25fps), AVG: 45ms (22.22fps), Temperature: 65.56
1738380150396,[185231][I][app_httpd.cpp:291] stream_handler(): MJPG: 9666B 71ms (14.08fps), AVG: 46ms (21.74fps), Temperature: 66.11
1738380150427,[185261][I][app_httpd.cpp:291] stream_handler(): MJPG: 10202B 30ms (33.33fps), AVG: 46ms (21.74fps), Temperature: 66.11
1738380150519,[185354][I][app_httpd.cpp:291] stream_handler(): MJPG: 9968B 93ms (10.75fps), AVG: 49ms (20.41fps), Temperature: 66.11
1738380150548,[185383][I][app_httpd.cpp:291] stream_handler(): MJPG: 9907B 28ms (35.71fps), AVG: 48ms (20.83fps), Temperature: 66.11
1738380150613,[185448][I][app_httpd.cpp:291] stream_handler(): MJPG: 9984B 65ms (15.38fps), AVG: 49ms (20.41fps), Temperature: 65.56
1738380150650,[185484][I][app_httpd.cpp:291] stream_handler(): MJPG: 10366B 35ms (28.57fps), AVG: 49ms (20.41fps), Temperature: 65.56
