1738983322448,[ 36965][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322467,[ 36985][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983322488,[ 37005][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983322507,[ 37025][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322528,[ 37045][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983322548,[ 37065][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983322568,[ 37085][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322588,[ 37105][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322607,[ 37125][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322627,[ 37145][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322647,[ 37165][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983322667,[ 37185][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983322688,[ 37205][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322707,[ 37225][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322727,[ 37245][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322747,[ 37265][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
